VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH WEIGHT,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video,StockNumber,Img,Jewlery Video,JewelryType,Style,Metal,DiaWt,MainStone,Description ,Header,Main,Secondary
R1.0L40055B100,Round,1.09,J,VVS2,EX,EX,EX,M,GIA,4.99,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5486837534.pdf,https://v3602586.v360.in/vision360.html?d=L40055,https://v3602586.v360.in/vision360.html?d=R1.0L40055B100,,,,,,,,,,,,
R1.0L40057A000,Round,1,L,VS1,EX,EX,EX,N,GIA,2.6,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482837474.pdf,https://v3602586.v360.in/vision360.html?d=L40057,https://v3602586.v360.in/vision360.html?d=R1.0L40057A000,,,,,,,,,,,,
R1.0L40058A000,Round,1.07,J,VVS2,EX,EX,EX,F,GIA,3.79,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485837077.pdf,https://v3602586.v360.in/vision360.html?d=L40058,https://v3602586.v360.in/vision360.html?d=R1.0L40058A000,,,,,,,,,,,,
R1.0L40058B000,Round,1.04,J,VVS1,EX,EX,EX,F,GIA,3.79,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3485837067.pdf,https://v3602586.v360.in/vision360.html?d=L40058,https://v3602586.v360.in/vision360.html?d=R1.0L40058B000,,,,,,,,,,,,
R1.0L40059B000,Round,1.05,J,VVS1,EX,EX,EX,M,GIA,5.94,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481837131.pdf,https://v3602586.v360.in/vision360.html?d=L40059,https://v3602586.v360.in/vision360.html?d=R1.0L40059B000,,,,,,,,,,,,
R1.0L40061A1A1,Round,1.01,J,VS2,EX,EX,EX,F,GIA,3.8,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482837134.pdf,https://v3602586.v360.in/vision360.html?d=L40061,https://v3602586.v360.in/vision360.html?d=R1.0L40061A1A1,,,,,,,,,,,,
R1.0L40061B000,Round,1.01,J,VVS2,EX,EX,EX,F,GIA,3.8,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2484858840.pdf,https://v3602586.v360.in/vision360.html?d=L40061,https://v3602586.v360.in/vision360.html?d=R1.0L40061B000,,,,,,,,,,,,
R1.0L40064A100,Round,1.13,J,VS2,EX,EX,EX,F,GIA,2.53,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485688111.pdf,https://v3602586.v360.in/vision360.html?d=L40064,https://v3602586.v360.in/vision360.html?d=R1.0L40064A100,,,,,,,,,,,,
R1.0L40065A000,Round,1.01,M,VVS2,EX,EX,EX,F,GIA,2.84,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7486836287.pdf,https://v3602586.v360.in/vision360.html?d=L40065,https://v3602586.v360.in/vision360.html?d=R1.0L40065A000,,,,,,,,,,,,
R1.0L40066A000,Round,1.02,J,IF,EX,EX,EX,N,GIA,3.89,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481858822.pdf,https://v3602586.v360.in/vision360.html?d=L40066,https://v3602586.v360.in/vision360.html?d=R1.0L40066A000,,,,,,,,,,,,
R1.0L40066B000,Round,1.02,I,IF,EX,EX,EX,N,GIA,3.89,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485845760.pdf,https://v3602586.v360.in/vision360.html?d=L40066,https://v3602586.v360.in/vision360.html?d=R1.0L40066B000,,,,,,,,,,,,
R1.0L40067A000,Round,1.06,K,VS1,EX,EX,EX,M,GIA,2.74,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7483688732.pdf,https://v3602586.v360.in/vision360.html?d=L40067,https://v3602586.v360.in/vision360.html?d=R1.0L40067A000,,,,,,,,,,,,
R1.0L40068A1A0,Round,1.13,M,VS1,EX,EX,EX,F,GIA,2.67,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481845762.pdf,https://v3602586.v360.in/vision360.html?d=L40068,https://v3602586.v360.in/vision360.html?d=R1.0L40068A1A0,,,,,,,,,,,,
R1.0L40069A1A0,Round,1,L,VVS2,EX,EX,EX,F,GIA,2.52,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1487846042.pdf,https://v3602586.v360.in/vision360.html?d=L40069,https://v3602586.v360.in/vision360.html?d=R1.0L40069A1A0,,,,,,,,,,,,
R1.0L40070B000,Round,1.09,L,VVS2,EX,EX,EX,F,GIA,6.65,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7486989408.pdf,https://v3602586.v360.in/vision360.html?d=L40070,https://v3602586.v360.in/vision360.html?d=R1.0L40070B000,,,,,,,,,,,,
R1.0L40072A1A0,Round,1.01,K,VVS2,VG,EX,EX,N,GIA,2.55,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7483845723.pdf,https://v3602586.v360.in/vision360.html?d=L40072,https://v3602586.v360.in/vision360.html?d=R1.0L40072A1A0,,,,,,,,,,,,
R1.0L40073A000,Round,1.02,J,VS2,EX,EX,EX,N,GIA,3.43,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5483845735.pdf,https://v3602586.v360.in/vision360.html?d=L40073,https://v3602586.v360.in/vision360.html?d=R1.0L40073A000,,,,,,,,,,,,
R1.0L40074A000,Round,1.15,K,VS1,EX,EX,EX,N,GIA,4.14,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2486845695.pdf,https://v3602586.v360.in/vision360.html?d=L40074,https://v3602586.v360.in/vision360.html?d=R1.0L40074A000,,,,,,,,,,,,
R1.0L40074B000,Round,1.14,K,VVS2,EX,EX,EX,N,GIA,4.14,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2484846025.pdf,https://v3602586.v360.in/vision360.html?d=L40074,https://v3602586.v360.in/vision360.html?d=R1.0L40074B000,,,,,,,,,,,,
R1.0L40075A1A0,Round,1.02,J,VVS2,EX,EX,EX,N,GIA,3.13,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1483989330.pdf,https://v3602586.v360.in/vision360.html?d=L40075,https://v3602586.v360.in/vision360.html?d=R1.0L40075A1A0,,,,,,,,,,,,
R1.0L40076A100,Round,1.08,K,VVS2,EX,EX,EX,N,GIA,2.85,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5486845749.pdf,https://v3602586.v360.in/vision360.html?d=L40076,https://v3602586.v360.in/vision360.html?d=R1.0L40076A100,,,,,,,,,,,,
R1.0L40078B000,Round,1.04,L,VS1,EX,EX,EX,F,GIA,4.86,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482845729.pdf,https://v3602586.v360.in/vision360.html?d=L40078,https://v3602586.v360.in/vision360.html?d=R1.0L40078B000,,,,,,,,,,,,
R1.0L40081A1A0,Round,1.01,J,VS1,EX,EX,EX,N,GIA,2.65,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482845636.pdf,https://v3602586.v360.in/vision360.html?d=L40081,https://v3602586.v360.in/vision360.html?d=R1.0L40081A1A0,,,,,,,,,,,,
R1.0L40082A100,Round,1.01,I,VS1,EX,EX,EX,N,GIA,2.52,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481858724.pdf,https://v3602586.v360.in/vision360.html?d=L40082,https://v3602586.v360.in/vision360.html?d=R1.0L40082A100,,,,,,,,,,,,
R1.0L40083A000,Round,1,K,VVS2,EX,EX,EX,N,GIA,3.48,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482858745.pdf,https://v3602586.v360.in/vision360.html?d=L40083,https://v3602586.v360.in/vision360.html?d=R1.0L40083A000,,,,,,,,,,,,
R1.0L40084A1A1,Round,1.01,J,VVS2,EX,EX,EX,N,GIA,2.52,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5486836256.pdf,https://v3602586.v360.in/vision360.html?d=L40084,https://v3602586.v360.in/vision360.html?d=R1.0L40084A1A1,,,,,,,,,,,,
R1.0L40086A1A0,Round,1.06,K,VS1,EX,EX,EX,M,GIA,2.6,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487836191.pdf,https://v3602586.v360.in/vision360.html?d=L40086,https://v3602586.v360.in/vision360.html?d=R1.0L40086A1A0,,,,,,,,,,,,
R1.0L40088A000,Round,1.02,J,VS1,EX,EX,EX,N,GIA,2.98,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2486836223.pdf,https://v3602586.v360.in/vision360.html?d=L40088,https://v3602586.v360.in/vision360.html?d=R1.0L40088A000,,,,,,,,,,,,
R1.0L40089A1A0,Round,1.02,I,VVS2,EX,EX,EX,N,GIA,4.15,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481858804.pdf,https://v3602586.v360.in/vision360.html?d=L40089,https://v3602586.v360.in/vision360.html?d=R1.0L40089A1A0,,,,,,,,,,,,
R1.0L40089B000,Round,1,I,VVS2,EX,EX,EX,N,GIA,4.15,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481858718.pdf,https://v3602586.v360.in/vision360.html?d=L40089,https://v3602586.v360.in/vision360.html?d=R1.0L40089B000,,,,,,,,,,,,
R1.0L40091A100,Round,1.09,L,VS2,EX,EX,EX,N,GIA,2.8,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488837189.pdf,https://v3602586.v360.in/vision360.html?d=L40091,https://v3602586.v360.in/vision360.html?d=R1.0L40091A100,,,,,,,,,,,,
R1.0L40094A1A1,Round,1.08,L,VS1,EX,EX,EX,N,GIA,2.53,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481837479.pdf,https://v3602586.v360.in/vision360.html?d=L40094,https://v3602586.v360.in/vision360.html?d=R1.0L40094A1A1,,,,,,,,,,,,
R1.0L40095A000,Round,1.03,K,VVS2,EX,EX,EX,F,GIA,3.1,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485837369.pdf,https://v3602586.v360.in/vision360.html?d=L40095,https://v3602586.v360.in/vision360.html?d=R1.0L40095A000,,,,,,,,,,,,
R1.0L40096A100,Round,1.01,K,VVS1,EX,EX,EX,N,GIA,2.53,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482837268.pdf,https://v3602586.v360.in/vision360.html?d=L40096,https://v3602586.v360.in/vision360.html?d=R1.0L40096A100,,,,,,,,,,,,
R1.0L400980000,Round,1.1,"K, FB",VVS1,EX,EX,EX,N,GIA,3.01,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5483989368.pdf,https://v3602586.v360.in/vision360.html?d=L40098,https://v3602586.v360.in/vision360.html?d=R1.0L400980000,,,,,,,,,,,,
R1.0L40099A000,Round,1,I,VVS2,EX,EX,EX,N,GIA,2.81,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7483837181.pdf,https://v3602586.v360.in/vision360.html?d=L40099,https://v3602586.v360.in/vision360.html?d=R1.0L40099A000,,,,,,,,,,,,
R1.0L40101A000,Round,1.15,K,VVS2,EX,EX,EX,N,GIA,3.9,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488688678.pdf,https://v3602586.v360.in/vision360.html?d=L40101,https://v3602586.v360.in/vision360.html?d=R1.0L40101A000,,,,,,,,,,,,
R1.0L40101B000,Round,1.16,L,VVS1,EX,EX,EX,N,GIA,3.9,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488688683.pdf,https://v3602586.v360.in/vision360.html?d=L40101,https://v3602586.v360.in/vision360.html?d=R1.0L40101B000,,,,,,,,,,,,
R1.0L40102A000,Round,1.07,J,VS1,EX,EX,EX,N,GIA,3.94,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5483688663.pdf,https://v3602586.v360.in/vision360.html?d=L40102,https://v3602586.v360.in/vision360.html?d=R1.0L40102A000,,,,,,,,,,,,
R1.0L40102B000,Round,1.08,J,VS2,EX,EX,EX,N,GIA,3.94,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482688654.pdf,https://v3602586.v360.in/vision360.html?d=L40102,https://v3602586.v360.in/vision360.html?d=R1.0L40102B000,,,,,,,,,,,,
R1.0L40103A000,Round,1.04,J,VS1,EX,EX,EX,N,GIA,2.71,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5486688163.pdf,https://v3602586.v360.in/vision360.html?d=L40103,https://v3602586.v360.in/vision360.html?d=R1.0L40103A000,,,,,,,,,,,,
R1.0L40104A100,Round,1,J,VVS1,VG,EX,EX,N,GIA,2.62,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485845957.pdf,https://v3602586.v360.in/vision360.html?d=L40104,https://v3602586.v360.in/vision360.html?d=R1.0L40104A100,,,,,,,,,,,,
R1.0L40105A1A0,Round,1.05,M,VVS2,EX,EX,EX,N,GIA,2.6,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488858872.pdf,https://v3602586.v360.in/vision360.html?d=L40105,https://v3602586.v360.in/vision360.html?d=R1.0L40105A1A0,,,,,,,,,,,,
R1.0L40138A100,Round,1.02,L,VVS2,EX,EX,EX,N,GIA,3.9,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482858763.pdf,https://v3602586.v360.in/vision360.html?d=L40138,https://v3602586.v360.in/vision360.html?d=R1.0L40138A100,,,,,,,,,,,,
R1.0L40144A000,Round,1,L,VS1,EX,EX,EX,N,GIA,3.58,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485846070.pdf,https://v3602586.v360.in/vision360.html?d=L40144,https://v3602586.v360.in/vision360.html?d=R1.0L40144A000,,,,,,,,,,,,
R1.0L40144B000,Round,1.01,L,VVS2,EX,EX,EX,N,GIA,3.58,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5483845754.pdf,https://v3602586.v360.in/vision360.html?d=L40144,https://v3602586.v360.in/vision360.html?d=R1.0L40144B000,,,,,,,,,,,,
R1.0L40148A000,Round,1.01,L,VVS2,VG,EX,EX,N,GIA,2.68,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7488844764.pdf,https://v3602586.v360.in/vision360.html?d=L40148,https://v3602586.v360.in/vision360.html?d=R1.0L40148A000,,,,,,,,,,,,
R1.0L40151A100,Round,1.05,L,VVS1,EX,EX,EX,N,GIA,3.7,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3485844776.pdf,https://v3602586.v360.in/vision360.html?d=L40151,https://v3602586.v360.in/vision360.html?d=R1.0L40151A100,,,,,,,,,,,,
R1.0L40151B000,Round,1.05,L,VVS1,EX,EX,EX,N,GIA,3.7,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7481846056.pdf,https://v3602586.v360.in/vision360.html?d=L40151,https://v3602586.v360.in/vision360.html?d=R1.0L40151B000,,,,,,,,,,,,
R1.0L40155A1A0,Round,1.03,M,VS1,EX,EX,EX,M,GIA,3.13,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2497001827.pdf,https://v3602586.v360.in/vision360.html?d=L40155,https://v3602586.v360.in/vision360.html?d=R1.0L40155A1A0,,,,,,,,,,,,
R1.0L40159B000,Round,1.03,K,VS2,EX,EX,EX,F,GIA,3.7,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7486844740.pdf,https://v3602586.v360.in/vision360.html?d=L40159,https://v3602586.v360.in/vision360.html?d=R1.0L40159B000,,,,,,,,,,,,
R1.0L40160A000,Round,1.05,M,VVS2,EX,EX,EX,N,GIA,4.1,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2484989273.pdf,https://v3602586.v360.in/vision360.html?d=L40160,https://v3602586.v360.in/vision360.html?d=R1.0L40160A000,,,,,,,,,,,,
R1.0L40160B000,Round,1,M,VS1,EX,EX,EX,N,GIA,4.1,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7496001865.pdf,https://v3602586.v360.in/vision360.html?d=L40160,https://v3602586.v360.in/vision360.html?d=R1.0L40160B000,,,,,,,,,,,,
R1.0L40161A100,Round,1.03,M,VVS2,EX,EX,EX,N,GIA,3.74,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482858876.pdf,https://v3602586.v360.in/vision360.html?d=L40161,https://v3602586.v360.in/vision360.html?d=R1.0L40161A100,,,,,,,,,,,,
R1.0L40161B000,Round,1.01,M,IF,EX,EX,EX,N,GIA,3.74,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7482989233.pdf,https://v3602586.v360.in/vision360.html?d=L40161,https://v3602586.v360.in/vision360.html?d=R1.0L40161B000,,,,,,,,,,,,
R1.0L40162A100,Round,1.02,M,VS1,EX,EX,EX,N,GIA,2.57,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5496001834.pdf,https://v3602586.v360.in/vision360.html?d=L40162,https://v3602586.v360.in/vision360.html?d=R1.0L40162A100,,,,,,,,,,,,
R1.0L40166A000,Round,1,M,VS2,VG,EX,VG,F,GIA,3.69,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6492001816.pdf,https://v3602586.v360.in/vision360.html?d=L40166,https://v3602586.v360.in/vision360.html?d=R1.0L40166A000,,,,,,,,,,,,
R1.0L40167A100,Round,1.07,L,VS2,EX,EX,EX,N,GIA,2.82,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7492001853.pdf,https://v3602586.v360.in/vision360.html?d=L40167,https://v3602586.v360.in/vision360.html?d=R1.0L40167A100,,,,,,,,,,,,
R1.0L40170A1A0,Round,1.03,K,VS1,EX,EX,EX,N,GIA,2.76,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481836990.pdf,https://v3602586.v360.in/vision360.html?d=L40170,https://v3602586.v360.in/vision360.html?d=R1.0L40170A1A0,,,,,,,,,,,,
R1.0L40171A100,Round,1,L,VS1,VG,EX,VG,F,GIA,2.58,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3495001838.pdf,https://v3602586.v360.in/vision360.html?d=L40171,https://v3602586.v360.in/vision360.html?d=R1.0L40171A100,,,,,,,,,,,,
R1.0L40173A1A1,Round,1.15,L,IF,EX,EX,EX,M,GIA,2.88,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1489989253.pdf,https://v3602586.v360.in/vision360.html?d=L40173,https://v3602586.v360.in/vision360.html?d=R1.0L40173A1A1,,,,,,,,,,,,
R1.0L40191A1A0,Round,1,L,VS1,EX,EX,EX,F,GIA,2.47,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485837161.pdf,https://v3602586.v360.in/vision360.html?d=L40191,https://v3602586.v360.in/vision360.html?d=R1.0L40191A1A0,,,,,,,,,,,,
R1.0L40192A1A0,Round,1,K,SI1,VG,EX,G,F,GIA,2.12,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482989302.pdf,https://v3602586.v360.in/vision360.html?d=L40192,https://v3602586.v360.in/vision360.html?d=R1.0L40192A1A0,,,,,,,,,,,,
R1.0L40196A1A0,Round,1,K,SI1,EX,EX,EX,N,GIA,2.41,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487989234.pdf,https://v3602586.v360.in/vision360.html?d=L40196,https://v3602586.v360.in/vision360.html?d=R1.0L40196A1A0,,,,,,,,,,,,
R1.0L40198A100,Round,1,J,VS2,VG,EX,EX,N,GIA,2.44,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481837457.pdf,https://v3602586.v360.in/vision360.html?d=L40198,https://v3602586.v360.in/vision360.html?d=R1.0L40198A100,,,,,,,,,,,,
R1.0L40199A1A1,Round,1.08,L,VVS1,EX,EX,EX,N,GIA,2.48,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485837440.pdf,https://v3602586.v360.in/vision360.html?d=L40199,https://v3602586.v360.in/vision360.html?d=R1.0L40199A1A1,,,,,,,,,,,,
R1.0L40204A1A0,Round,1.01,I,VVS2,VG,EX,EX,N,GIA,2.39,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482837280.pdf,https://v3602586.v360.in/vision360.html?d=L40204,https://v3602586.v360.in/vision360.html?d=R1.0L40204A1A0,,,,,,,,,,,,
R1.0L402080000,Round,1.01,M,VS1,VG,EX,EX,M,GIA,2.36,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7482858450.pdf,https://v3602586.v360.in/vision360.html?d=L40208,https://v3602586.v360.in/vision360.html?d=R1.0L402080000,,,,,,,,,,,,
R1.0L40218A1A1,Round,1.01,K,VS2,VG,EX,EX,N,GIA,2.33,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5486844685.pdf,https://v3602586.v360.in/vision360.html?d=L40218,https://v3602586.v360.in/vision360.html?d=R1.0L40218A1A1,,,,,,,,,,,,
R1.0L40219A1A1,Round,1.02,J,VVS1,VG,EX,EX,N,GIA,2.34,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485989224.pdf,https://v3602586.v360.in/vision360.html?d=L40219,https://v3602586.v360.in/vision360.html?d=R1.0L40219A1A1,,,,,,,,,,,,
R1.0L40222A1A0,Round,1.07,I,VVS2,EX,EX,EX,N,GIA,2.45,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485846086.pdf,https://v3602586.v360.in/vision360.html?d=L40222,https://v3602586.v360.in/vision360.html?d=R1.0L40222A1A0,,,,,,,,,,,,
R1.0L40227A1A0,Round,1.01,H,SI1,VG,EX,EX,N,GIA,2.27,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3485837541.pdf,https://v3602586.v360.in/vision360.html?d=L40227,https://v3602586.v360.in/vision360.html?d=R1.0L40227A1A0,,,,,,,,,,,,
R1.0L40228A1A0,Round,1.01,L,VVS2,VG,EX,EX,F,GIA,2.42,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487837650.pdf,https://v3602586.v360.in/vision360.html?d=L40228,https://v3602586.v360.in/vision360.html?d=R1.0L40228A1A0,,,,,,,,,,,,
R1.0L40231A100,Round,1,K,VVS1,VG,EX,VG,N,GIA,2.41,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7486837289.pdf,https://v3602586.v360.in/vision360.html?d=L40231,https://v3602586.v360.in/vision360.html?d=R1.0L40231A100,,,,,,,,,,,,
R1.0L40232A1A0,Round,1.05,J,VS2,EX,EX,EX,N,GIA,2.48,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482837637.pdf,https://v3602586.v360.in/vision360.html?d=L40232,https://v3602586.v360.in/vision360.html?d=R1.0L40232A1A0,,,,,,,,,,,,
R1.0L40236A1A1,Round,1.06,K,VVS2,EX,EX,EX,N,GIA,2.44,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488837038.pdf,https://v3602586.v360.in/vision360.html?d=L40236,https://v3602586.v360.in/vision360.html?d=R1.0L40236A1A1,,,,,,,,,,,,
R1.0L40246A100,Round,1,K,VVS2,G,EX,VG,N,GIA,2.13,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487837465.pdf,https://v3602586.v360.in/vision360.html?d=L40246,https://v3602586.v360.in/vision360.html?d=R1.0L40246A100,,,,,,,,,,,,
R1.0L40248A100,Round,1.01,K,SI1,VG,EX,EX,N,GIA,2.05,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3485845966.pdf,https://v3602586.v360.in/vision360.html?d=L40248,https://v3602586.v360.in/vision360.html?d=R1.0L40248A100,,,,,,,,,,,,
R1.0L40255A100,Round,1,L,VS2,VG,EX,VG,N,GIA,2.43,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1499001830.pdf,https://v3602586.v360.in/vision360.html?d=L40255,https://v3602586.v360.in/vision360.html?d=R1.0L40255A100,,,,,,,,,,,,
R1.0L40275A1A0,Round,1.03,L,IF,EX,EX,EX,F,GIA,2.44,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2484989247.pdf,https://v3602586.v360.in/vision360.html?d=L40275,https://v3602586.v360.in/vision360.html?d=R1.0L40275A1A0,,,,,,,,,,,,
R1.0L40276A1A2,Round,1.05,M,VS2,EX,EX,EX,M,GIA,2.36,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6491001817.pdf,https://v3602586.v360.in/vision360.html?d=L40276,https://v3602586.v360.in/vision360.html?d=R1.0L40276A1A2,,,,,,,,,,,,
R1.0L40279A1A1,Round,1,M,VS1,VG,EX,EX,N,GIA,2.29,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7496001819.pdf,https://v3602586.v360.in/vision360.html?d=L40279,https://v3602586.v360.in/vision360.html?d=R1.0L40279A1A1,,,,,,,,,,,,
R1.0L40285A1A0,Round,1,M,VVS2,EX,EX,EX,N,GIA,2.37,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1489845757.pdf,https://v3602586.v360.in/vision360.html?d=L40285,https://v3602586.v360.in/vision360.html?d=R1.0L40285A1A0,,,,,,,,,,,,
R1.0L40291A100,Round,1,K,SI1,VG,EX,VG,N,GIA,1.83,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485846103.pdf,https://v3602586.v360.in/vision360.html?d=L40291,https://v3602586.v360.in/vision360.html?d=R1.0L40291A100,,,,,,,,,,,,
R1.0L40295A1A0,Round,1.01,M,VVS2,VG,EX,EX,N,GIA,2.23,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482845743.pdf,https://v3602586.v360.in/vision360.html?d=L40295,https://v3602586.v360.in/vision360.html?d=R1.0L40295A1A0,,,,,,,,,,,,
R1.0L40297A1A0,Round,1.01,M,VVS2,VG,EX,EX,N,GIA,2.27,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482989439.pdf,https://v3602586.v360.in/vision360.html?d=L40297,https://v3602586.v360.in/vision360.html?d=R1.0L40297A1A0,,,,,,,,,,,,
R1.0L40299A000,Round,1,L,VS2,VG,EX,VG,M,GIA,2.3,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487858470.pdf,https://v3602586.v360.in/vision360.html?d=L40299,https://v3602586.v360.in/vision360.html?d=R1.0L40299A000,,,,,,,,,,,,
R1.0L40301A1A0,Round,1,L,VS1,VG,EX,EX,F,GIA,2.32,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485858404.pdf,https://v3602586.v360.in/vision360.html?d=L40301,https://v3602586.v360.in/vision360.html?d=R1.0L40301A1A0,,,,,,,,,,,,
R1.0L40315A1A1,Round,1,L,VVS2,EX,EX,EX,F,GIA,2.46,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485844802.pdf,https://v3602586.v360.in/vision360.html?d=L40315,https://v3602586.v360.in/vision360.html?d=R1.0L40315A1A1,,,,,,,,,,,,
R1.2L40001B100,Round,1.24,J,VVS2,EX,EX,EX,N,GIA,7.07,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487845746.pdf,https://v3602586.v360.in/vision360.html?d=L40001,https://v3602586.v360.in/vision360.html?d=R1.2L40001B100,,,,,,,,,,,,
R1.2L40042A1A1,Round,1.21,J,VVS2,EX,EX,EX,N,GIA,3.17,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6482989390.pdf,https://v3602586.v360.in/vision360.html?d=L40042,https://v3602586.v360.in/vision360.html?d=R1.2L40042A1A1,,,,,,,,,,,,
