VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH WEIGHT,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video,StockNumber,Img,Jewlery Video,JewelryType,Style,Metal,DiaWt,MainStone,Description ,Header,Main,Secondary
C1.3L40029A100,Cushion,1.31,FIY,VS2,VG,VG,VG,N,GIA,2.56,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253405.pdf,https://v3602586.v360.in/vision360.html?d=L40029,https://v3602586.v360.in/vision360.html?d=C1.3L40029A100,,,,,,,,,,,,
C1.3L40260A100,Cushion,1.31,W-X,VS2,VG,EX,VG,N,GIA,2.5,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253287.pdf,https://v3602586.v360.in/vision360.html?d=L40260,https://v3602586.v360.in/vision360.html?d=C1.3L40260A100,,,,,,,,,,,,
C1.5L40022A000,Cushion,1.56,Y-Z,VVS1,VG,EX,VG,N,GIA,2.89,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253468.pdf,https://v3602586.v360.in/vision360.html?d=L40022,https://v3602586.v360.in/vision360.html?d=C1.5L40022A000,,,,,,,,,,,,
C1.5L40023A000,Cushion,1.53,FLY,VVS1,G,EX,G,N,GIA,3.34,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1236253404.pdf,https://v3602586.v360.in/vision360.html?d=L40023,https://v3602586.v360.in/vision360.html?d=C1.5L40023A000,,,,,,,,,,,,
C1.5L40031A000,Cushion,1.52,FY,VS1,VG,EX,VG,F,GIA,2.92,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253456.pdf,https://v3602586.v360.in/vision360.html?d=L40031,https://v3602586.v360.in/vision360.html?d=C1.5L40031A000,,,,,,,,,,,,
C1.5L40032A000,Cushion,1.5,FY,VVS1,VG,VG,VG,N,GIA,2.61,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253267.pdf,https://v3602586.v360.in/vision360.html?d=L40032,https://v3602586.v360.in/vision360.html?d=C1.5L40032A000,,,,,,,,,,,,
C1.5L40116A000,Cushion,1.5,U-V,VS2,VG,EX,VG,N,GIA,2.76,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6237253401.pdf,https://v3602586.v360.in/vision360.html?d=L40116,https://v3602586.v360.in/vision360.html?d=C1.5L40116A000,,,,,,,,,,,,
C1.5L40132A000,Cushion,1.5,W-X,VS2,VG,EX,VG,N,GIA,2.98,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1236253396.pdf,https://v3602586.v360.in/vision360.html?d=L40132,https://v3602586.v360.in/vision360.html?d=C1.5L40132A000,,,,,,,,,,,,
C1.9L40020A000,Cushion,1.9,FY,VVS2,VG,EX,VG,N,GIA,3.74,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253385.pdf,https://v3602586.v360.in/vision360.html?d=L40020,https://v3602586.v360.in/vision360.html?d=C1.9L40020A000,,,,,,,,,,,,
C2.0L40021A100,Cushion,2,FY,VS1,G,EX,G,N,GIA,3.51,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5231253399.pdf,https://v3602586.v360.in/vision360.html?d=L40021,https://v3602586.v360.in/vision360.html?d=C2.0L40021A100,,,,,,,,,,,,
C2.0L40111A000,Cushion,2.03,W-X,VS1,EX,EX,EX,N,GIA,3.37,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6237253023.pdf,https://v3602586.v360.in/vision360.html?d=L40111,https://v3602586.v360.in/vision360.html?d=C2.0L40111A000,,,,,,,,,,,,
C2.0L40117A1A0,Cushion,2.1,FY,VS1,VG,EX,VG,M,GIA,4.6,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253089.pdf,https://v3602586.v360.in/vision360.html?d=L40117,https://v3602586.v360.in/vision360.html?d=C2.0L40117A1A0,,,,,,,,,,,,
C2.0L40122A000,Cushion,2,FLY,VVS2,G,VG,G,N,GIA,3.27,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6237253197.pdf,https://v3602586.v360.in/vision360.html?d=L40122,https://v3602586.v360.in/vision360.html?d=C2.0L40122A000,,,,,,,,,,,,
C2.0L40124A100,Cushion,2.02,W-X,VVS2,EX,EX,EX,F,GIA,3.64,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1236253470.pdf,https://v3602586.v360.in/vision360.html?d=L40124,https://v3602586.v360.in/vision360.html?d=C2.0L40124A100,,,,,,,,,,,,
C2.5L40028A000,Cushion,2.54,W-X,VVS1,EX,EX,EX,N,GIA,4.75,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253451.pdf,https://v3602586.v360.in/vision360.html?d=L40028,https://v3602586.v360.in/vision360.html?d=C2.5L40028A000,,,,,,,,,,,,
C2.5L40129A100,Cushion,2.59,U-V,VVS2,VG,EX,VG,N,GIA,4.86,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1236253032.pdf,https://v3602586.v360.in/vision360.html?d=L40129,https://v3602586.v360.in/vision360.html?d=C2.5L40129A100,,,,,,,,,,,,
C2.6L40024A000,Cushion,2.65,Y-Z,VVS2,VG,EX,VG,F,GIA,4.62,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2231253190.pdf,https://v3602586.v360.in/vision360.html?d=L40024,https://v3602586.v360.in/vision360.html?d=C2.6L40024A000,,,,,,,,,,,,
C3.0L40017A100,Cushion,3.06,FY,VS1,VG,EX,VG,F,GIA,5.87,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253138.pdf,https://v3602586.v360.in/vision360.html?d=L40017,https://v3602586.v360.in/vision360.html?d=C3.0L40017A100,,,,,,,,,,,,
C3.0L40131A100,Cushion,3.03,W-X,VS1,EX,EX,EX,N,GIA,6.7,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6234253073.pdf,https://v3602586.v360.in/vision360.html?d=L40131,https://v3602586.v360.in/vision360.html?d=C3.0L40131A100,,,,,,,,,,,,
C3.4L40113A100,Cushion,3.43,Y-Z,VVS1,VG,EX,VG,N,GIA,5.82,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2239253397.pdf,https://v3602586.v360.in/vision360.html?d=L40113,https://v3602586.v360.in/vision360.html?d=C3.4L40113A100,,,,,,,,,,,,
C3.7L40119A000,Cushion,3.75,FLY,VVS1,EX,EX,EX,N,GIA,6.92,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2235253168.pdf,https://v3602586.v360.in/vision360.html?d=L40119,https://v3602586.v360.in/vision360.html?d=C3.7L40119A000,,,,,,,,,,,,
C5.2L40015A100,Cushion,5.24,Y-Z,VS1,EX,VG,EX,N,GIA,10.15,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5234252590.pdf,https://v3602586.v360.in/vision360.html?d=L40015,https://v3602586.v360.in/vision360.html?d=C5.2L40015A100,,,,,,,,,,,,
E1.0L40043B000,Emerald,1.02,J,IF,VG,EX,VG,M,GIA,5.54,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485845624.pdf,https://v3602586.v360.in/vision360.html?d=L40043,https://v3602586.v360.in/vision360.html?d=E1.0L40043B000,,,,,,,,,,,,
E1.0L40048A000,Emerald,1.08,M,VS1,EX,EX,EX,N,GIA,2.54,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7482688063.pdf,https://v3602586.v360.in/vision360.html?d=L40048,https://v3602586.v360.in/vision360.html?d=E1.0L40048A000,,,,,,,,,,,,
E1.0L40073B000,Emerald,1.01,J,VVS1,VG,EX,VG,N,GIA,3.43,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7482845707.pdf,https://v3602586.v360.in/vision360.html?d=L40073,https://v3602586.v360.in/vision360.html?d=E1.0L40073B000,,,,,,,,,,,,
E1.0L40083B000,Emerald,1.01,K,SI2,EX,EX,EX,N,GIA,3.48,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2488845620.pdf,https://v3602586.v360.in/vision360.html?d=L40083,https://v3602586.v360.in/vision360.html?d=E1.0L40083B000,,,,,,,,,,,,
E1.0L40163B000,Emerald,1.11,K,VVS2,EX,EX,EX,M,GIA,4.68,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1488837404.pdf,https://v3602586.v360.in/vision360.html?d=L40163,https://v3602586.v360.in/vision360.html?d=E1.0L40163B000,,,,,,,,,,,,
E1.0L40189A000,Emerald,1.01,L,VS2,EX,EX,EX,F,GIA,2.01,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1489837378.pdf,https://v3602586.v360.in/vision360.html?d=L40189,https://v3602586.v360.in/vision360.html?d=E1.0L40189A000,,,,,,,,,,,,
E1.0L40203A000,Emerald,1.01,K,IF,EX,EX,EX,N,GIA,2.1,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1485837569.pdf,https://v3602586.v360.in/vision360.html?d=L40203,https://v3602586.v360.in/vision360.html?d=E1.0L40203A000,,,,,,,,,,,,
E1.2L40047A000,Emerald,1.2,J,VS2,EX,EX,EX,N,GIA,3.57,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7498066903.pdf,https://v3602586.v360.in/vision360.html?d=L40047,https://v3602586.v360.in/vision360.html?d=E1.2L40047A000,,,,,,,,,,,,
E1.2L40047B000,Emerald,1.2,K,VS1,EX,EX,EX,N,GIA,3.57,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6492064682.pdf,https://v3602586.v360.in/vision360.html?d=L40047,https://v3602586.v360.in/vision360.html?d=E1.2L40047B000,,,,,,,,,,,,
R.75L40190A1A0,Round,0.8,I,VVS1,VG,EX,EX,F,GIA,1.81,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5493001854.pdf,https://v3602586.v360.in/vision360.html?d=L40190,https://v3602586.v360.in/vision360.html?d=R.75L40190A1A0,,,,,,,,,,,,
R.75L40211A1A1,Round,0.8,K,VS1,EX,EX,EX,F,GIA,1.89,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1499001818.pdf,https://v3602586.v360.in/vision360.html?d=L40211,https://v3602586.v360.in/vision360.html?d=R.75L40211A1A1,,,,,,,,,,,,
R.75L40224A1A0,Round,0.83,M,VS1,EX,EX,EX,N,GIA,1.91,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6492001884.pdf,https://v3602586.v360.in/vision360.html?d=L40224,https://v3602586.v360.in/vision360.html?d=R.75L40224A1A0,,,,,,,,,,,,
R.75L40226A000,Round,0.72,J,VS1,EX,EX,EX,N,GIA,2.11,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2497001837.pdf,https://v3602586.v360.in/vision360.html?d=L40226,https://v3602586.v360.in/vision360.html?d=R.75L40226A000,,,,,,,,,,,,
R.75L40230A1A0,Round,0.82,L,VVS2,EX,EX,EX,N,GIA,1.87,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2497001897.pdf,https://v3602586.v360.in/vision360.html?d=L40230,https://v3602586.v360.in/vision360.html?d=R.75L40230A1A0,,,,,,,,,,,,
R.75L40234A1A1,Round,0.8,K,VVS1,EX,EX,EX,N,GIA,1.95,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7492001823.pdf,https://v3602586.v360.in/vision360.html?d=L40234,https://v3602586.v360.in/vision360.html?d=R.75L40234A1A1,,,,,,,,,,,,
R.90L40194A1A0,Round,0.91,K,VS1,VG,EX,EX,N,GIA,1.98,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2487834401.pdf,https://v3602586.v360.in/vision360.html?d=L40194,https://v3602586.v360.in/vision360.html?d=R.90L40194A1A0,,,,,,,,,,,,
R.90L40200A100,Round,0.9,L,VVS2,EX,EX,EX,N,GIA,2.26,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7488834557.pdf,https://v3602586.v360.in/vision360.html?d=L40200,https://v3602586.v360.in/vision360.html?d=R.90L40200A100,,,,,,,,,,,,
R.90L40202A000,Round,0.93,J,VVS1,VG,EX,VG,N,GIA,2.25,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3485688241.pdf,https://v3602586.v360.in/vision360.html?d=L40202,https://v3602586.v360.in/vision360.html?d=R.90L40202A000,,,,,,,,,,,,
R.90L40205A1A1,Round,0.9,J,VVS2,VG,EX,VG,N,GIA,2.22,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/2484834711.pdf,https://v3602586.v360.in/vision360.html?d=L40205,https://v3602586.v360.in/vision360.html?d=R.90L40205A1A1,,,,,,,,,,,,
R.90L40216A000,Round,0.92,K,VS1,VG,EX,EX,N,GIA,2.42,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1489688053.pdf,https://v3602586.v360.in/vision360.html?d=L40216,https://v3602586.v360.in/vision360.html?d=R.90L40216A000,,,,,,,,,,,,
R.90L40235A1A0,Round,0.9,J,VS1,VG,EX,VG,N,GIA,2.01,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481834625.pdf,https://v3602586.v360.in/vision360.html?d=L40235,https://v3602586.v360.in/vision360.html?d=R.90L40235A1A0,,,,,,,,,,,,
R.90L40237A1A0,Round,0.9,"L, FB",VS1,VG,EX,EX,F,GIA,2.15,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/3485834418.pdf,https://v3602586.v360.in/vision360.html?d=L40237,https://v3602586.v360.in/vision360.html?d=R.90L40237A1A0,,,,,,,,,,,,
R.90L40238A1A0,Round,0.91,I,VS1,VG,EX,EX,M,GIA,2.12,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7488834656.pdf,https://v3602586.v360.in/vision360.html?d=L40238,https://v3602586.v360.in/vision360.html?d=R.90L40238A1A0,,,,,,,,,,,,
R.90L40245A1A1,Round,0.9,K,VS1,VG,EX,EX,N,GIA,2.1,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6481834388.pdf,https://v3602586.v360.in/vision360.html?d=L40245,https://v3602586.v360.in/vision360.html?d=R.90L40245A1A1,,,,,,,,,,,,
R.90L40247A1A0,Round,0.92,G,VVS2,VG,EX,EX,M,GIA,2.26,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485834490.pdf,https://v3602586.v360.in/vision360.html?d=L40247,https://v3602586.v360.in/vision360.html?d=R.90L40247A1A0,,,,,,,,,,,,
R.90L40283A1A1,Round,0.9,L,VS1,VG,EX,VG,N,GIA,2.23,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/1489834515.pdf,https://v3602586.v360.in/vision360.html?d=L40283,https://v3602586.v360.in/vision360.html?d=R.90L40283A1A1,,,,,,,,,,,,
R.90L40284A100,Round,0.9,M,VS1,EX,EX,EX,F,GIA,2.19,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/5496001851.pdf,https://v3602586.v360.in/vision360.html?d=L40284,https://v3602586.v360.in/vision360.html?d=R.90L40284A100,,,,,,,,,,,,
R.90L40293A1A1,Round,0.9,M,VS1,EX,EX,EX,F,GIA,2.48,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6492001825.pdf,https://v3602586.v360.in/vision360.html?d=L40293,https://v3602586.v360.in/vision360.html?d=R.90L40293A1A1,,,,,,,,,,,,
R.90L40296A000,Round,0.91,M,VS1,VG,EX,EX,M,GIA,2.25,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485989927.pdf,https://v3602586.v360.in/vision360.html?d=L40296,https://v3602586.v360.in/vision360.html?d=R.90L40296A000,,,,,,,,,,,,
R.90L40306A1A0,Round,0.9,K,VS1,VG,EX,VG,M,GIA,2.01,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/6485834639.pdf,https://v3602586.v360.in/vision360.html?d=L40306,https://v3602586.v360.in/vision360.html?d=R.90L40306A1A0,,,,,,,,,,,,
R.90L40307A1A0,Round,0.9,M,VS2,VG,EX,EX,M,GIA,2.31,____,21/01/2024,https://b.yerushalmi.com/barak/Output/Certificates/7492001828.pdf,https://v3602586.v360.in/vision360.html?d=L40307,https://v3602586.v360.in/vision360.html?d=R.90L40307A1A0,,,,,,,,,,,,
