VendorStockNumber,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,FluorescenceIntensity,Lab,ROUGH CT,ROUGH DATE,Certificate Url,Rough Video,Polished Video
R2.0L43008A100,RB,2.06,H,VVS2,EX,EX,EX,N,GIA,6.33,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L43008B100,RB,1.01,G,VVS1,EX,EX,EX,N,GIA,6.33,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E2.6L43009A000,EM,2.64,I,IF,,EX,EX,N,GIA,5.38,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R.50L43009B100,RB,0.51,F,IF,EX,EX,EX,N,GIA,5.38,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.5L43010A100,EM,1.50,H,VS2,,EX,VG,N,GIA,3.09,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
T1.5L43011A1A0,PS,1.51,H,VVS1,,EX,EX,F,GIA,4.43,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R2.0L43012A100,RB,2.00,H,VS2,EX,EX,EX,N,GIA,5.28,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E.75L43012B000,EM,0.71,G,VS1,,EX,VG,N,GIA,5.28,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.5L43013A1A0,EM,1.60,F,VVS2,,EX,EX,N,GIA,3.24,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L43014A100,RB,1.03,G,VVS1,EX,EX,EX,N,GIA,2.85,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
O1.0L43015A1A0,OV,1.01,D,VS1,,EX,VG,N,GIA,2.7,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.0L43016A1A0,EM,1.07,D,VVS2,,EX,VG,F,GIA,2.79,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.0L43017A1A2,EM,1.08,D,VVS2,,EX,EX,N,GIA,2.56,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
E1.4L430180000,EM,1.41,H,VVS1,,EX,EX,F,GIA,2.95,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
O1.5L43019A1A0,OV,1.54,G,VS2,,EX,VG,F,GIA,3.93,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R1.0L43020A100,RB,1.08,F,VVS2,EX,EX,EX,N,GIA,2.88,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
O1.5L43021A1A0,OV,1.51,F,VVS2,,EX,VG,N,GIA,3.32,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
R.75L43022A1A0,RB,0.74,G,VS1,EX,EX,EX,N,GIA,1.83,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
O1.0L43023A100,OV,1.01,G,VS1,,EX,EX,N,GIA,2.51,"April, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
C1.0L40033A000,CU,1.03,FY,VS2,,EX,VG,F,GIA,2.54,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
C1.0L40187A000,CU,1.05,FLY,VS1,,EX,VG,F,GIA,2.14,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
C1.5L40022A000,CU,1.56,Y to Z Range,VVS1,,EX,VG,N,GIA,2.89,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
C2.0L40111A000,CU,2.03,W to X Range,VS1,,EX,EX,N,GIA,3.37,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
C2.0L40117A1A0,CU,2.10,FY,VS1,,EX,VG,M,GIA,4.6,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
C2.5L40028A000,CU,2.54,W to X Range,VVS1,,EX,EX,N,GIA,4.75,"January, 2024",https://erp.barakdiamonds.com/YerushalmiBeny/Output/Certificates/,,
